built_2015,built_2020,built_2025,grid_id,built_share_2015,built_pct_2015,built_share_2020,built_pct_2020,built_share_2025,built_pct_2025
5938.031372549019,6098.752941176471,6147.725490196078,G000032,0.005938031372549018,0.5938031372549019,0.006098752941176471,0.6098752941176471,0.006147725490196078,0.6147725490196078
0.0,0.0,0.0,G000033,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000034,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000035,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000036,0.0,0.0,0.0,0.0,0.0,0.0
245.70588235294116,250.37254901960787,250.37254901960787,G000037,0.0002457058823529412,0.02457058823529412,0.0002503725490196079,0.02503725490196079,0.0002503725490196079,0.02503725490196079
398.0823529411765,403.44705882352935,403.44705882352935,G000038,0.0003980823529411765,0.03980823529411765,0.00040344705882352936,0.040344705882352935,0.00040344705882352936,0.040344705882352935
2675.8862745098036,2733.1882352941175,2733.1882352941175,G000039,0.0026758862745098035,0.26758862745098033,0.0027331882352941176,0.2733188235294118,0.0027331882352941176,0.2733188235294118
1665.0,1697.0,1697.0,G000040,0.001665,0.1665,0.001697,0.1697,0.001697,0.1697
1500.0313725490196,1571.407843137255,1720.9529411764706,G000041,0.0015000313725490196,0.15000313725490197,0.001571407843137255,0.1571407843137255,0.0017209529411764707,0.17209529411764707
14298.094117647059,15075.258823529412,16069.258823529412,G000042,0.01429809411764706,1.429809411764706,0.01507525882352941,1.5075258823529412,0.01606925882352941,1.606925882352941
11.780392156862746,12.376470588235295,12.376470588235295,G000043,1.1780392156862746e-05,0.0011780392156862747,1.2376470588235295e-05,0.0012376470588235295,1.2376470588235295e-05,0.0012376470588235295
0.0,0.0,0.0,G000044,0.0,0.0,0.0,0.0,0.0,0.0
653.0,666.0,666.0,G000045,0.000653,0.06530000000000001,0.000666,0.0666,0.000666,0.0666
164.0,166.0,166.0,G000046,0.000164,0.0164,0.000166,0.0166,0.000166,0.0166
0.0,0.0,0.0,G000047,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000048,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000049,0.0,0.0,0.0,0.0,0.0,0.0
663.0,676.0,676.0,G000050,0.000663,0.0663,0.000676,0.0676,0.000676,0.0676
167.74117647058824,170.75294117647059,170.75294117647059,G000051,0.00016774117647058826,0.016774117647058825,0.0001707529411764706,0.01707529411764706,0.0001707529411764706,0.01707529411764706
72.1843137254902,72.80392156862746,72.80392156862746,G000052,7.218431372549019e-05,0.007218431372549019,7.280392156862745e-05,0.007280392156862745,7.280392156862745e-05,0.007280392156862745
134.71372549019608,135.90588235294118,135.90588235294118,G000053,0.00013471372549019609,0.013471372549019608,0.00013590588235294117,0.013590588235294116,0.00013590588235294117,0.013590588235294116
0.0,0.0,0.0,G000054,0.0,0.0,0.0,0.0,0.0,0.0
5903.686274509804,6649.309803921568,8476.764705882353,G000055,0.005903686274509804,0.5903686274509804,0.006649309803921568,0.6649309803921568,0.008476764705882354,0.8476764705882354
12810.972549019607,12816.52156862745,12816.52156862745,G000056,0.012810972549019606,1.2810972549019606,0.01281652156862745,1.281652156862745,0.01281652156862745,1.281652156862745
0.0,0.0,0.0,G000057,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000058,0.0,0.0,0.0,0.0,0.0,0.0
2.7529411764705882,2.7529411764705882,2.7529411764705882,G000059,2.7529411764705884e-06,0.00027529411764705885,2.7529411764705884e-06,0.00027529411764705885,2.7529411764705884e-06,0.00027529411764705885
0.0,0.0,0.0,G000060,0.0,0.0,0.0,0.0,0.0,0.0
125.3686274509804,127.4470588235294,127.4470588235294,G000061,0.0001253686274509804,0.012536862745098042,0.0001274470588235294,0.01274470588235294,0.0001274470588235294,0.01274470588235294
19.0,19.0,19.0,G000062,1.9e-05,0.0019000000000000002,1.9e-05,0.0019000000000000002,1.9e-05,0.0019000000000000002
0.0,0.0,0.0,G000063,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000064,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000065,0.0,0.0,0.0,0.0,0.0,0.0
374.0,380.0,380.0,G000066,0.000374,0.037399999999999996,0.00038,0.038,0.00038,0.038
1161.4156862745099,2374.1686274509802,3554.1686274509802,G000067,0.00116141568627451,0.116141568627451,0.0023741686274509803,0.23741686274509805,0.0035541686274509804,0.35541686274509804
0.0,0.0,0.0,G000068,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000069,0.0,0.0,0.0,0.0,0.0,0.0
2540.8117647058825,2540.8117647058825,3404.329411764706,G000070,0.0025408117647058824,0.25408117647058825,0.0025408117647058824,0.25408117647058825,0.003404329411764706,0.3404329411764706
7113.352941176471,7569.352941176471,8071.549019607844,G000071,0.007113352941176471,0.7113352941176471,0.0075693529411764715,0.7569352941176472,0.008071549019607844,0.8071549019607844
0.0,0.0,0.0,G000072,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,484.54117647058825,G000073,0.0,0.0,0.0,0.0,0.00048454117647058826,0.04845411764705883
