full_area_m2,inside_area_m2,inside_share,grid_id,cell_area_km2,inside_area_km2,province,district,district_id,centroid_x,centroid_y,longitude,latitude,dist_kapikule_km,dist_hamzabeyli_km,dist_derekoy_km,dist_pazarkule_km,dist_ipsala_km,euclidean_distance_km,nearest_gate_col,nearest_gate,nearest_border_country
1000000.0,1000000.0,1.0,G004777,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4615500.0,26.765673027783432,41.69103821898007,33.62350808559706,32.28116639365842,65.26079165065156,23.21542973529197,91.827585816323,23.21542973529197,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004778,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4616500.0,26.765640332811056,41.700045290340995,33.55496915297467,31.36454648048487,64.79506449489597,23.406242169405715,92.74508317929646,23.406242169405715,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004779,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4617500.0,26.765607622942152,41.70905234751496,33.51613960067527,30.453174680448825,64.34150945482787,23.637854538672798,93.66426955363006,23.637854538672798,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004780,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4618500.0,26.765574898168875,41.71805939050148,33.507122714533764,29.54753661998515,63.900385718348204,23.9090811594683,94.5850956974487,23.9090811594683,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004781,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4619500.0,26.765542158483388,41.72706641930003,33.52794254769737,28.64817607633682,63.47195247494482,24.218591135502283,95.50751418174373,24.218591135502283,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004782,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4620500.0,26.765509403877836,41.736073433910164,33.578543600885475,27.755703282248703,63.056468399440426,24.56493743707111,96.43147931177056,24.56493743707111,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004783,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4621500.0,26.765476634344367,41.74508043433135,33.65879155928564,26.870804544778064,62.65419110512564,24.946585858305447,97.35694705226169,24.946585858305447,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004784,1.0,1.0,Edirne,Merkez,Edirne_Merkez,480500.0,4622500.0,26.765443849875123,41.754087420563124,33.768475063382844,25.9942533856062,62.2653765672832,25.361942762422466,98.28387495625792,25.361942762422466,dist_pazarkule_km,Pazarkule,Greece
1000000.0,1000000.0,1.0,G004785,1.0,1.0,Edirne,Suleoglu,Edirne_Suleoglu,480500.0,4623500.0,26.76541105046223,41.76309439260496,33.907308459699074,25.12692343416785,61.890278518468115,25.809380763260883,99.21222209736962,25.12692343416785,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004786,1.0,1.0,Edirne,Suleoglu,Edirne_Suleoglu,480500.0,4624500.0,26.76537823609782,41.7721013504564,34.07493544903719,24.269803325490038,61.52914781728681,26.28726174559779,100.14194900529074,24.269803325490038,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004787,1.0,1.0,Edirne,Suleoglu,Edirne_Suleoglu,480500.0,4625500.0,26.765345406774014,41.781108294116954,34.27093352581634,23.42401386717062,61.18223179281306,26.793956870536245,101.0730176043968,23.42401386717062,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004788,1.0,1.0,Edirne,Suleoglu,Edirne_Suleoglu,480500.0,4626500.0,26.765312562482922,41.79011522358611,34.494819083534765,22.590827736956324,60.84977356718331,27.32786342688986,102.00539115526766,22.590827736956324,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004789,1.0,1.0,Edirne,Suleoglu,Edirne_Suleoglu,480500.0,4627500.0,26.76527970321666,41.79912213886342,34.74605304895313,21.771691942342684,60.53201135932505,27.887418564243845,102.93903419898406,21.771691942342684,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004790,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4628500.0,26.765246828967324,41.80812903994836,35.02404690145809,20.968253199150933,60.22917777318093,28.471110074528532,103.87391250405497,20.968253199150933,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004791,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4629500.0,26.76521393972702,41.817135926840486,35.32816893401649,20.182386241848047,59.94149907419239,29.077484478106218,104.80999301584043,20.182386241848047,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004792,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4630500.0,26.765181035487828,41.82614279953929,35.657750617576525,19.416224828904593,59.66919445819076,29.705152722601774,105.74724380834223,19.416224828904593,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004793,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4631500.0,26.765148116241836,41.835149658044315,36.01209294084627,18.67219480398609,59.412475317203864,30.352793824814274,106.68563403824072,18.67219480398609,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004794,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4632500.0,26.765115181981123,41.84415650235507,36.39047261104232,17.95304795820028,59.171544507012264,31.019156785287883,107.62513390106366,17.95304795820028,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004795,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4633500.0,26.765082232697768,41.85316333247107,36.7921480173405,17.26189454205051,58.9465956215735,31.70306108830595,108.56571458937825,17.26189454205051,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004796,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4634500.0,26.76504926838383,41.86217014839187,37.21636487628478,16.60223103598752,58.73781227966602,32.403396073057635,109.50734825290398,16.60223103598752,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004797,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4635500.0,26.765016289031372,41.87117695011696,37.66236149632196,15.977958178808116,58.5453674292788,33.119119429206364,110.45000796044899,15.977958178808116,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004798,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4636500.0,26.764983294632447,41.88018373764589,38.12937361607853,15.393382336418956,58.36942267538059,33.84925503559307,111.39366766357816,15.393382336418956,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004799,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4637500.0,26.764950285179108,41.88919051097819,38.61663878730744,14.85319130512393,58.21012763673697,34.59289032681731,112.33830216192585,14.85319130512393,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004800,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4638500.0,26.76491726066339,41.89819727011337,39.12340028811719,14.362394094928712,58.067619337399954,35.34917334057189,113.28388707007105,14.362394094928712,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004801,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4639500.0,26.76488422107733,41.90720401505099,39.648910564845536,13.926213998408794,57.942021638368466,36.11730956979473,114.23039878589701,13.926213998408794,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
