full_area_m2,inside_area_m2,inside_share,grid_id,cell_area_km2,inside_area_km2,province,district,district_id,centroid_x,centroid_y,longitude,latitude
1000000.0,1000000.0,1.0,G000048,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4500500.0,26.10696284371621,40.651907578007375
1000000.0,1000000.0,1.0,G000049,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4501500.0,26.106842716382992,40.660915258560024
1000000.0,1000000.0,1.0,G000050,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4502500.0,26.106722534732285,40.66992292472144
1000000.0,1000000.0,1.0,G000051,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4503500.0,26.106602298736302,40.67893057649079
1000000.0,1000000.0,1.0,G000052,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4504500.0,26.106482008367216,40.687938213867255
1000000.0,1000000.0,1.0,G000053,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4505500.0,26.106361663597184,40.696945836850034
1000000.0,1000000.0,1.0,G000054,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4506500.0,26.106241264398346,40.70595344543829
1000000.0,1000000.0,1.0,G000055,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4507500.0,26.106120810742826,40.714961039631234
1000000.0,1000000.0,1.0,G000056,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4508500.0,26.106000302602713,40.723968619428035
1000000.0,1000000.0,1.0,G000057,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4509500.0,26.105879739950083,40.73297618482789
1000000.0,880254.8167653934,0.8802548167653934,G000058,1.0,0.8802548167653934,Edirne,Enez,Edirne_Enez,424500.0,4510500.0,26.105759122756997,40.74198373583
1000000.0,769718.4015291225,0.7697184015291225,G000059,1.0,0.7697184015291225,Edirne,Enez,Edirne_Enez,425500.0,4495500.0,26.11938169257814,40.60695968160856
1000000.0,1000000.0,1.0,G000060,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4496500.0,26.11926342323203,40.61596746278424
1000000.0,1000000.0,1.0,G000061,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4497500.0,26.119145100424213,40.62497522958039
1000000.0,1000000.0,1.0,G000062,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4498500.0,26.11902672412735,40.633982981996205
1000000.0,1000000.0,1.0,G000063,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4499500.0,26.118908294314107,40.642990720030845
1000000.0,1000000.0,1.0,G000064,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4500500.0,26.1187898109571,40.65199844368349
1000000.0,1000000.0,1.0,G000065,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4501500.0,26.118671274028948,40.66100615295336
1000000.0,1000000.0,1.0,G000066,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4502500.0,26.11855268350223,40.670013847839606
1000000.0,1000000.0,1.0,G000067,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4503500.0,26.118434039349527,40.679021528341416
1000000.0,1000000.0,1.0,G000068,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4504500.0,26.11831534154338,40.688029194458
1000000.0,1000000.0,1.0,G000069,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4505500.0,26.118196590056314,40.697036846188524
1000000.0,1000000.0,1.0,G000070,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4506500.0,26.11807778486084,40.70604448353218
1000000.0,1000000.0,1.0,G000071,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4507500.0,26.117958925929447,40.71505210648819
1000000.0,1000000.0,1.0,G000072,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4508500.0,26.11784001323459,40.7240597150557
1000000.0,1000000.0,1.0,G000073,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4509500.0,26.117721046748724,40.73306730923397
1000000.0,1000000.0,1.0,G000074,1.0,1.0,Edirne,Enez,Edirne_Enez,425500.0,4510500.0,26.11760202644427,40.74207488902211
1000000.0,991920.8350185085,0.9919208350185085,G000075,1.0,0.9919208350185085,Edirne,Enez,Edirne_Enez,426500.0,4495500.0,26.131200771999083,40.60704919457532
1000000.0,1000000.0,1.0,G000076,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4496500.0,26.131084089496245,40.61605700404792
1000000.0,1000000.0,1.0,G000077,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4497500.0,26.1309673542488,40.62506479914849
1000000.0,1000000.0,1.0,G000078,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4498500.0,26.130850566229796,40.634072579876225
1000000.0,1000000.0,1.0,G000079,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4499500.0,26.130733725412238,40.64308034623033
1000000.0,1000000.0,1.0,G000080,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4500500.0,26.13061683176914,40.65208809820996
1000000.0,1000000.0,1.0,G000081,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4501500.0,26.13049988527346,40.66109583581432
1000000.0,1000000.0,1.0,G000082,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4502500.0,26.130382885898168,40.670103559042595
1000000.0,1000000.0,1.0,G000083,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4503500.0,26.130265833616193,40.67911126789398
1000000.0,1000000.0,1.0,G000084,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4504500.0,26.130148728400457,40.68811896236766
1000000.0,1000000.0,1.0,G000085,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4505500.0,26.130031570223853,40.69712664246285
1000000.0,1000000.0,1.0,G000086,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4506500.0,26.129914359059253,40.70613430817871
1000000.0,1000000.0,1.0,G000087,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4507500.0,26.129797094879518,40.71514195951447
1000000.0,1000000.0,1.0,G000088,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4508500.0,26.12967977765748,40.72414959646932
1000000.0,1000000.0,1.0,G000089,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4509500.0,26.129562407365952,40.733157219042425
1000000.0,1000000.0,1.0,G000090,1.0,1.0,Edirne,Enez,Edirne_Enez,426500.0,4510500.0,26.12944498397773,40.742164827233026
1000000.0,968520.7017628645,0.9685207017628645,G000091,1.0,0.9685207017628645,Edirne,Enez,Edirne_Enez,426500.0,4511500.0,26.129327507465586,40.75117242104032
1000000.0,1000000.0,1.0,G000092,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4495500.0,26.143019904137685,40.6071374982886
1000000.0,1000000.0,1.0,G000093,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4496500.0,26.142904808505055,40.61614533567592
1000000.0,1000000.0,1.0,G000094,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4497500.0,26.14278966084495,40.62515315869861
1000000.0,1000000.0,1.0,G000095,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4498500.0,26.142674461130778,40.6341609673559
1000000.0,1000000.0,1.0,G000096,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4499500.0,26.142559209335918,40.64316876164694
1000000.0,1000000.0,1.0,G000097,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4500500.0,26.142443905433737,40.65217654157094
1000000.0,1000000.0,1.0,G000098,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4501500.0,26.142328549397586,40.6611843071271
1000000.0,1000000.0,1.0,G000099,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4502500.0,26.142213141200777,40.67019205831461
1000000.0,1000000.0,1.0,G000100,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4503500.0,26.142097680816622,40.67919979513265
1000000.0,1000000.0,1.0,G000101,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4504500.0,26.141982168218398,40.68820751758044
1000000.0,1000000.0,1.0,G000102,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4505500.0,26.141866603379377,40.69721522565717
1000000.0,1000000.0,1.0,G000103,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4506500.0,26.1417509862728,40.70622291936202
1000000.0,1000000.0,1.0,G000104,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4507500.0,26.141635316871888,40.71523059869422
1000000.0,1000000.0,1.0,G000105,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4508500.0,26.141519595149852,40.72423826365296
1000000.0,1000000.0,1.0,G000106,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4509500.0,26.14140382107987,40.733245914237436
1000000.0,1000000.0,1.0,G000107,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4510500.0,26.141287994635103,40.74225355044686
1000000.0,1000000.0,1.0,G000108,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4511500.0,26.1411721157887,40.75126117228043
1000000.0,1000000.0,1.0,G000109,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4512500.0,26.141056184513786,40.760268779737366
1000000.0,1000000.0,1.0,G000110,1.0,1.0,Edirne,Enez,Edirne_Enez,427500.0,4513500.0,26.140940200783458,40.76927637281687
1000000.0,981177.2588599953,0.9811772588599953,G000111,1.0,0.9811772588599953,Edirne,Ipsala,Edirne_Ipsala,427500.0,4514500.0,26.140824164570798,40.778283951518155
1000000.0,606474.2454263101,0.6064742454263101,G000112,1.0,0.6064742454263101,Edirne,Ipsala,Edirne_Ipsala,427500.0,4515500.0,26.140708075848877,40.78729151584042
1000000.0,500476.0425039771,0.500476042503977,G000113,1.0,0.500476042503977,Edirne,Enez,Edirne_Enez,428500.0,4494500.0,26.154952545728914,40.598216713456516
1000000.0,1000000.0,1.0,G000114,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4495500.0,26.154839088277182,40.60722459273284
1000000.0,1000000.0,1.0,G000115,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4496500.0,26.154725579541335,40.61623245765267
1000000.0,1000000.0,1.0,G000116,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4497500.0,26.154612019495165,40.62524030821519
1000000.0,1000000.0,1.0,G000117,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4498500.0,26.154498408112442,40.6342481444196
1000000.0,1000000.0,1.0,G000118,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4499500.0,26.154384745366915,40.643255966265095
1000000.0,1000000.0,1.0,G000119,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4500500.0,26.154271031232316,40.65226377375086
1000000.0,1000000.0,1.0,G000120,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4501500.0,26.154157265682358,40.6612715668761
1000000.0,1000000.0,1.0,G000121,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4502500.0,26.15404344869073,40.670279345640026
1000000.0,1000000.0,1.0,G000122,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4503500.0,26.153929580231107,40.67928711004182
1000000.0,1000000.0,1.0,G000123,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4504500.0,26.15381566027714,40.68829486008068
1000000.0,1000000.0,1.0,G000124,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4505500.0,26.153701688802457,40.697302595755836
1000000.0,1000000.0,1.0,G000125,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4506500.0,26.153587665780677,40.70631031706645
1000000.0,1000000.0,1.0,G000126,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4507500.0,26.15347359118539,40.71531802401176
1000000.0,1000000.0,1.0,G000127,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4508500.0,26.153359464990164,40.72432571659098
1000000.0,1000000.0,1.0,G000128,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4509500.0,26.153245287168563,40.73333339480328
1000000.0,1000000.0,1.0,G000129,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4510500.0,26.153131057694115,40.742341058647895
1000000.0,1000000.0,1.0,G000130,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4511500.0,26.15301677654033,40.751348708124034
