grid_id,year,viirs_avg_rad,ln_viirs
G000006,2019,0.5876921624612453,0.4622814916787682
G000006,2020,0.5627916684791223,0.44647375303478687
G000006,2021,0.5571337066479584,0.4428467636979043
G000006,2022,0.5392244989969838,0.43127871751065516
G000006,2023,0.5884953029342553,0.4627872178041168
G000006,2024,0.5870771163879936,0.4618940329207138
G000006,2025,0.5109377508732811,0.41273048513772215
G000007,2014,3.6937096334054886,1.546223236419929
G000007,2015,4.027451882559716,1.6149132717704786
G000007,2016,3.718225253463948,1.5514327232675802
G000007,2017,4.314809944183414,1.6704972527695063
G000007,2018,4.1337459727866195,1.63583560182991
G000007,2019,5.958518541721514,1.9399665984889387
G000007,2020,5.507498665766252,1.8729551528564052
G000007,2021,5.051889752559393,1.8003705790647757
G000007,2022,4.651064556005907,1.7318439444022933
G000007,2023,4.987180118770586,1.7896205364698903
G000007,2024,5.611142855407053,1.8887565368620465
G000007,2025,5.334695443522122,1.8460417374038962
G000008,2014,9.526431513188491,2.353889381074072
G000008,2015,9.949683610361015,2.3933105618141117
G000008,2016,9.392291795317806,2.3410643578153003
G000008,2017,10.305915231135355,2.4253260605366274
G000008,2018,10.428978751310662,2.4361521257231353
G000008,2019,14.42050796337982,2.735698309446038
G000008,2020,13.572151082309329,2.6791122470797597
G000008,2021,13.911104039291837,2.7021061729361717
G000008,2022,13.412195243408432,2.6680747400747125
G000008,2023,12.70801129269956,2.6179804278156094
G000008,2024,14.587419349755818,2.746464136959462
G000008,2025,14.833695805962405,2.7621403151185966
G000009,2014,4.737264227991579,1.7469824813818073
G000009,2015,4.6982988964524575,1.7401676910797914
G000009,2016,4.73260794621097,1.746170566137125
G000009,2017,5.271754450623797,1.8360561321898528
G000009,2018,5.179965177994002,1.8213126368249226
G000009,2019,7.252237809584445,2.1104844132116547
G000009,2020,6.98520761528271,2.0775907819905437
G000009,2021,7.31184196614401,2.1176812408808607
G000009,2022,7.450874849542763,2.1342699685002318
G000009,2023,6.673340647012596,2.0377520677545293
G000009,2024,6.688056950423363,2.0396680793439055
G000009,2025,7.5365479940091555,2.144356709924927
G000010,2014,1.634362273662172,0.9686411313208452
G000010,2015,1.711519238690328,0.997509082494286
G000010,2016,1.6843577882083445,0.9874415143267028
G000010,2017,2.1085994990678545,1.1341723029226776
G000010,2018,1.8430750420214341,1.0448862276850677
G000010,2019,2.8941815941415494,1.3594835402082048
G000010,2020,3.300111172984503,1.4586408765477457
G000010,2021,3.48412824920677,1.5005441063189109
G000010,2022,3.8739369475184176,1.5839020186233213
G000010,2023,3.5105961034443616,1.50642931849313
G000010,2024,3.451436928150018,1.4932269492577355
G000010,2025,3.9992337246410172,1.6092846456175454
G000011,2014,2.118821831955817,1.137455312542895
G000011,2015,2.3999157611241815,1.2237506551752355
G000011,2016,2.0239404948697532,1.1065607805012436
G000011,2017,2.866321396499028,1.35230351144839
G000011,2018,2.79942875292191,1.3348507272534822
G000011,2019,5.711598341271348,1.9038371254898248
G000011,2020,7.645080848795466,2.156990471178911
G000011,2021,7.883136060216565,2.1841546545920854
G000011,2022,7.8625950602767345,2.1818396179250357
