grid_id,year,built_share,built_pct
G001055,2024,0.0,0.0
G001055,2025,0.0,0.0
G001056,2014,0.0,0.0
G001056,2015,0.0,0.0
G001056,2016,0.0,0.0
G001056,2017,0.0,0.0
G001056,2018,0.0,0.0
G001056,2019,0.0,0.0
G001056,2020,0.0,0.0
G001056,2021,0.0,0.0
G001056,2022,0.0,0.0
G001056,2023,0.0,0.0
G001056,2024,0.0,0.0
G001056,2025,0.0,0.0
G001057,2014,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2015,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2016,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2017,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2018,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2019,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2020,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2021,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2022,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2023,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2024,2.5882352941176466e-07,2.5882352941176465e-05
G001057,2025,2.5882352941176466e-07,2.5882352941176465e-05
G001058,2014,1.2964705882352939e-05,0.001296470588235294
G001058,2015,1.2964705882352939e-05,0.001296470588235294
G001058,2016,1.2964705882352939e-05,0.001296470588235294
G001058,2017,1.2964705882352939e-05,0.001296470588235294
G001058,2018,1.2964705882352939e-05,0.001296470588235294
G001058,2019,1.2964705882352939e-05,0.001296470588235294
G001058,2020,1.2964705882352939e-05,0.001296470588235294
G001058,2021,1.2964705882352939e-05,0.001296470588235294
G001058,2022,1.2964705882352939e-05,0.001296470588235294
G001058,2023,1.2964705882352939e-05,0.001296470588235294
G001058,2024,1.2964705882352939e-05,0.001296470588235294
G001058,2025,1.2964705882352939e-05,0.001296470588235294
G001059,2014,0.0002538588235294118,0.02538588235294118
G001059,2015,0.0002538588235294118,0.02538588235294118
G001059,2016,0.0002546588235294118,0.025465882352941182
G001059,2017,0.0002554588235294118,0.02554588235294118
G001059,2018,0.0002562588235294118,0.02562588235294118
G001059,2019,0.00025705882352941177,0.025705882352941176
