grid_id,year,ndvi,evi
G000004,2022,0.17629765237513534,0.06150225667169897
G000004,2023,0.19238621640888756,0.059542500052027346
G000004,2024,0.11795680673375776,0.03917545166415016
G000004,2025,0.13247299606117718,0.04255002333557837
G000005,2014,0.48549448225386893,0.22465670897281673
G000005,2015,0.4710870490652061,0.25491185853750936
G000005,2016,0.5156884154337389,0.24822618288211715
G000005,2017,0.4945553765922184,0.21978587068918456
G000005,2018,0.498670110349798,0.24597210599566482
G000005,2019,0.4975837576122817,0.1996072946421269
G000005,2020,0.5232855841100172,0.23866322835760326
G000005,2021,0.4424231027459957,0.19075123544642478
G000005,2022,0.4115274736265028,0.1669305880019065
G000005,2023,0.45427450338552033,0.18858693207239402
G000005,2024,0.4518976196879925,0.2105837907074991
G000005,2025,0.39689798044983987,0.15866509528528006
G000006,2014,0.6304966264639257,0.35982801703054684
G000006,2015,0.6253342455951869,0.3395185334128264
G000006,2016,0.6143304726877719,0.33220396958410925
G000006,2017,0.5972203316835836,0.3259896932863575
G000006,2018,0.6296675383616332,0.32068981552699904
G000006,2019,0.619280541699602,0.3240400842681447
G000006,2020,0.5814900586940189,0.3074947814637653
G000006,2021,0.601356769458144,0.31323909086340934
G000006,2022,0.5855935454106808,0.3198515130152771
G000006,2023,0.561712835461559,0.2857097440587037
G000006,2024,0.5829331643396626,0.3262970069631927
G000006,2025,0.5995157066152347,0.32529465782324446
G000007,2014,0.55024703219214,0.32138147759755814
G000007,2015,0.536637524372248,0.3010855167753251
G000007,2016,0.5038814899846237,0.2864791603842754
G000007,2017,0.5090348641888545,0.2820261279646768
G000007,2018,0.5229301088312098,0.2830847530504981
G000007,2019,0.5395030811362933,0.29551061875128404
G000007,2020,0.5449345875410699,0.3038755952791468
G000007,2021,0.5162644951111398,0.2935244337857892
G000007,2022,0.5009395544575853,0.27778442733485675
G000007,2023,0.4523217904002107,0.243270978105497
G000007,2024,0.5088711484080914,0.2950684196907303
G000007,2025,0.5372928832135354,0.3038763919142382
G000008,2014,0.4992945782687209,0.3037851490156246
G000008,2015,0.4668198639318883,0.28946339093819057
G000008,2016,0.45391275645330537,0.2763690471441287
G000008,2017,0.4396906076721912,0.26065037180342837
G000008,2018,0.47740580289912915,0.27294077885024415
G000008,2019,0.4810253804875294,0.288497186788925
G000008,2020,0.46979437841906735,0.2848057559846269
G000008,2021,0.4605781921462538,0.28284389426339207
G000008,2022,0.45985172625698345,0.28087559230573905
G000008,2023,0.440573388667199,0.25455728945345996
G000008,2024,0.4604341309498391,0.2892344687566552
G000008,2025,0.5024027674448474,0.29822642612016353
G000009,2014,0.5880021330440304,0.32047984944404106
G000009,2015,0.5728919925396563,0.32629814543789765
G000009,2016,0.5428958037864847,0.30237912341020406
G000009,2017,0.5213482001600782,0.2883957842157843
G000009,2018,0.5479923110144164,0.2844044015008187
G000009,2019,0.550666317050618,0.29545707769855095
G000009,2020,0.544953625041245,0.3022738749778969
G000009,2021,0.5377164563498733,0.3018696092893552
G000009,2022,0.544537462439286,0.3018229383757033
G000009,2023,0.5260997010014018,0.269916152152325
G000009,2024,0.5289655300854726,0.30185985739408944
G000009,2025,0.5724762315651427,0.3016709114605977
G000010,2014,0.6758241432002324,0.34871499018116575
G000010,2015,0.6706645710111911,0.3544748641401217
G000010,2016,0.632996775975051,0.33374203450798523
G000010,2017,0.6156757542291443,0.32747685397858506
G000010,2018,0.6345457942592645,0.3129350697468471
G000010,2019,0.6299422677676564,0.3237730927319426
G000010,2020,0.6148997331195616,0.31822145665063184
G000010,2021,0.640855483135658,0.32837303026108916
G000010,2022,0.6444852316130929,0.3307574988438631
G000010,2023,0.6069096368570593,0.29360377828399303
G000010,2024,0.6315682175168922,0.3383440083166785
G000010,2025,0.6571408993492615,0.3296782493669398
G000011,2014,0.6751701400974733,0.3541114208854062
G000011,2015,0.6601772313554896,0.3552222154226229
G000011,2016,0.6066489906029251,0.3214213408389915
G000011,2017,0.57110597836326,0.3067037650395777
G000011,2018,0.6141214461738314,0.32100974854035536
G000011,2019,0.615239693872084,0.32968366800885074
G000011,2020,0.6019360572257723,0.3170518518130168
G000011,2021,0.6089516730639045,0.3241202338174739
