grid_id,year,annual_lst_day_c,annual_lst_night_c,summer_lst_day_c,summer_lst_night_c
G000004,2017,18.34573411534705,10.100126050420196,28.191333333333368,20.316096774193575
G000004,2018,17.979614718614748,11.729871661463784,27.592032258064542,20.78096774193552
G000004,2019,19.009580382900637,10.658055555555585,28.011913978494658,22.408709677419385
G000004,2020,18.60994674859194,10.970493358633805,27.454440860215083,21.343574193548417
G000004,2021,18.504852835160037,10.042147153402798,28.252204301075295,20.399720430107557
G000004,2022,18.250866103998312,10.540702393340304,28.01311827956992,21.23952688172046
G000004,2023,18.378082111436985,10.359222939068129,27.285989247311853,20.87483870967744
G000004,2024,17.974462691430467,11.423678837291776,27.927215053763472,22.66023655913982
G000004,2025,17.429946370739053,11.059971078976673,27.46173118279573,22.282086021505407
G000005,2014,19.038268897744604,10.73304469877981,27.657380239520986,19.835478186484206
G000005,2015,18.084842315369283,11.233972387284703,27.59014471057887,17.591925149700625
G000005,2016,18.652345974717264,10.755312802965525,28.24590818363276,19.234005988023984
G000005,2017,18.91866400532271,8.448104979268308,29.084970059880263,18.799967065868294
G000005,2018,18.34042100647193,10.963699046351772,28.23025449101799,19.333976047904223
G000005,2019,19.541186756920972,10.339057453275295,28.86906187624753,21.264754491017996
G000005,2020,19.063224218230236,10.5034144284651,28.123702594810407,20.58141317365273
G000005,2021,19.34043829444826,9.544646264238619,28.939550898203624,19.64932135728546
G000005,2022,18.92506260206862,10.094670491523189,29.25146207584833,20.38331337325352
G000005,2023,18.934446561422646,10.31861622908033,28.050678642714594,20.322165668662688
G000005,2024,18.32328314385724,11.170043801551254,28.781501996008014,22.43133732534932
G000005,2025,18.102485694572827,9.925779795089655,28.57009980039923,21.712395209580865
G000006,2014,19.76138494669437,10.410918136602719,29.144884057971048,18.067513043478282
G000006,2015,19.74534873371398,8.867843088539793,30.022140096618383,19.501443478260903
G000006,2016,20.09975330112724,9.906741397164955,30.977280193236744,20.27495072463771
G000006,2017,20.1551946223271,9.40603454060449,31.24834782608698,19.677797101449308
G000006,2018,19.63161688466266,10.767335737661153,30.683024154589393,20.60855169082129
G000006,2019,20.59419410487996,11.091725856075112,30.890951690821286,20.349264182194645
G000006,2020,20.710801872355773,10.061925806844505,31.25970048309181,19.26496811594206
G000006,2021,19.741668495538487,9.748687514531532,30.728193236715004,19.67220289855075
G000006,2022,20.0733174004964,9.442088248707842,30.950338164251235,21.0365739130435
G000006,2023,20.81181589013543,10.58550099460077,30.80262318840583,20.2918683229814
G000006,2024,20.136565849938584,10.569262224893727,31.7950241545894,20.80317874396138
G000006,2025,19.110898214660814,9.605324433362794,30.982888888888912,23.587043478260906
G000007,2014,20.012503413432274,10.887982689378235,29.264571619812614,18.667851405622525
G000007,2015,19.74341564236748,8.769394677768915,30.02434404283804,19.70210843373497
G000007,2016,20.19880499776888,10.221238894973865,31.041740294511417,20.15473092369481
G000007,2017,20.316633767392833,8.854842909964312,31.06482597054889,19.723273092369524
G000007,2018,19.75378965135909,10.986783693915472,31.2620682730924,20.869123828647957
G000007,2019,20.436595657994314,10.286838502352351,30.561914323962544,19.703667527251902
G000007,2020,20.59280949886505,9.937121055651206,30.770435073627862,19.658712182061613
G000007,2021,19.66561380877046,9.97798552498768,30.472556894243674,20.49006693440431
